iter	Passed	Remaining
770	1065	316
771	1067	315
772	1068	313
773	1069	312
774	1070	310
775	1072	309
776	1072	307
777	1073	306
778	1074	304
779	1076	303
780	1077	302
781	1078	300
782	1080	299
783	1081	297
784	1082	296
785	1083	294
786	1084	293
787	1085	292
788	1086	290
789	1088	289
790	1089	287
791	1091	286
792	1092	285
793	1093	283
794	1095	282
795	1096	280
796	1097	279
797	1098	278
798	1099	276
799	1104	276
800	1107	275
801	1108	273
802	1109	272
803	1110	270
804	1111	269
805	1112	267
806	1115	266
807	1116	265
808	1118	263
809	1119	262
810	1120	261
811	1122	259
812	1123	258
813	1124	257
814	1125	255
815	1127	254
816	1128	252
817	1130	251
818	1131	250
819	1133	248
820	1134	247
821	1136	246
822	1138	244
823	1139	243
824	1140	241
825	1141	240
826	1143	239
827	1145	237
828	1147	236
829	1148	235
830	1149	233
831	1150	232
832	1151	230
833	1152	229
834	1153	228
835	1154	226
836	1156	225
837	1157	223
838	1159	222
839	1160	221
840	1162	219
841	1163	218
842	1164	216
843	1167	215
844	1168	214
845	1169	212
846	1170	211
847	1171	209
848	1172	208
849	1173	207
850	1174	205
851	1175	204
852	1176	202
853	1177	201
854	1178	199
855	1179	198
856	1180	197
857	1181	195
858	1183	194
859	1183	192
860	1184	191
861	1185	189
862	1186	188
863	1187	186
864	1188	185
865	1189	184
866	1190	182
867	1191	181
868	1192	179
869	1193	178
870	1194	176
871	1195	175
872	1196	174
873	1197	172
874	1198	171
875	1199	169
876	1200	168
877	1201	166
878	1202	165
879	1203	164
880	1204	162
881	1205	161
882	1207	159
883	1208	158
884	1209	157
885	1210	155
886	1211	154
887	1213	152
888	1214	151
889	1215	150
890	1215	148
891	1216	147
892	1217	145
893	1219	144
894	1220	143
895	1221	141
896	1222	140
897	1223	138
898	1224	137
899	1225	136
900	1226	134
901	1227	133
902	1228	131
903	1229	130
904	1230	129
905	1232	127
906	1233	126
907	1234	125
908	1235	123
909	1236	122
910	1237	120
911	1238	119
912	1239	118
913	1240	116
914	1241	115
915	1242	113
916	1243	112
917	1244	111
918	1245	109
919	1246	108
920	1247	106
921	1248	105
922	1249	104
923	1250	102
924	1251	101
925	1252	100
926	1253	98
927	1254	97
928	1255	95
929	1256	94
930	1257	93
931	1259	91
932	1260	90
933	1260	89
934	1261	87
935	1262	86
936	1263	84
937	1265	83
938	1266	82
939	1267	80
940	1268	79
941	1268	78
942	1269	76
943	1270	75
944	1272	74
945	1273	72
946	1274	71
947	1275	69
948	1276	68
949	1277	67
950	1278	65
951	1279	64
952	1280	63
953	1281	61
954	1282	60
955	1283	59
956	1284	57
957	1285	56
958	1285	54
959	1287	53
960	1288	52
961	1289	50
962	1289	49
963	1290	48
964	1291	46
965	1292	45
966	1293	44
967	1294	42
968	1295	41
969	1296	40
970	1297	38
971	1298	37
972	1299	36
973	1300	34
974	1301	33
975	1303	32
976	1304	30
977	1305	29
978	1306	28
979	1306	26
980	1307	25
981	1308	23
982	1309	22
983	1311	21
984	1312	19
985	1313	18
986	1314	17
987	1315	15
988	1316	14
989	1317	13
990	1318	11
991	1319	10
992	1320	9
993	1321	7
994	1321	6
995	1322	5
996	1323	3
997	1325	2
998	1326	1
999	1327	0
